date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-07-26,16.2,14.3,19.2,15,0,184,12.8,44.3,1003.6,
2024-07-27,15.1,11,19.5,0.4,0,251,6.3,19.8,1011.3,
2024-07-28,14.9,12.3,17.6,1.8,0,309,6.6,19.4,1020.2,
2024-07-29,16.3,11.8,20.6,0,0,157,9.4,30.2,1021.6,
2024-07-30,16.3,14.6,19.2,1.9,0,176,13.6,36.4,1015.4,
2024-07-31,15.1,12.4,18.7,0.8,0,298,9.6,28.4,1016.2,
2024-08-01,15.7,12.4,19.7,0,0,330,8.5,32.8,1014.6,
2024-08-02,16.6,10.6,22.9,0,0,187,5.9,25.2,1011.7,
2024-08-03,16.6,13.5,20.2,30,0,152,9.4,31.3,1007,
2024-08-04,14.7,13,18.3,1.4,0,321,13.2,31.3,1008.7,
2024-08-05,16.7,11.9,20.5,2.1,0,151,11.6,36,1010.7,
2024-08-06,19.8,15.5,22.7,6.6,0,156,19.3,46.4,1009.1,
2024-08-07,17.7,14.6,21.7,20.4,0,148,15.9,42.8,1005.7,
2024-08-08,15.1,12.9,18.3,7.2,0,163,17.8,53.6,1006,
2024-08-09,14.5,13.2,16,40.3,0,177,16.1,48.2,998.7,
2024-08-10,13.8,12.2,15.6,22.5,0,232,15,44.6,1003.9,
2024-08-11,14.2,11.1,18.7,0.1,0,306,7.8,24.5,1016.6,
2024-08-12,15.7,8.3,21.3,0.3,0,118,5.8,23,1016.1,
2024-08-13,16.8,12.6,23.2,2.3,0,139,12.5,63,1009,
2024-08-14,15.7,13.7,19.5,4.6,0,178,9.3,47.9,1011.3,
2024-08-15,14.1,13.4,15.1,47.8,0,156,16.3,50,1005.7,
2024-08-16,14.2,11.2,17.2,10.2,0,164,14.7,41,1007.8,
2024-08-17,14.7,13,17.7,10.1,0,178,15.7,47.2,1006.1,
2024-08-18,13.9,12.9,17.3,11.7,0,180,14.6,47.9,1004.7,
2024-08-19,14,11.4,16.3,1.9,0,177,15.6,43.9,1010.7,
2024-08-20,16.1,14.3,17.1,13.3,0,157,24.4,65.5,1002.3,
2024-08-21,14.7,12.7,17.5,11.4,0,166,12.6,40.3,1003,
2024-08-22,13.9,12.1,15.4,33.9,0,161,22.7,60.8,994.5,
2024-08-23,12.9,12.1,14.7,9.5,0,152,12.6,38.2,992.2,
